Commonwealth of Kentucky Minority and Women Business Enterprise Certification Program,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
"Kentucky Cut Stone, LLC",2026-08-30 00:00:00,WBE,Supplier/Distributor,"Non-coal surface mine, producer of natural limestone building stone",JoEl Ford,Garrard,Lancaster,KY,606-669-1174,https://kentuckycutstone.com/
"Kentucky Farm Girl, LLC",2028-01-30 00:00:00,MWBE,Consultant,Consulting existing & start-up growers to connect with each other to collaborate a network of growers,Darlene Prather,Henderson,Henderson,KY,270-724-4977,
Kentucky Recycling LLC ,2027-07-30 00:00:00,WBE,Other ,Collections and processing of recyclable material from local industries and Eastern Kentucky University,Ashley Reisig,Madison,Richmond,KY,859-779-5095,
"Kersey & Kersey, Inc.",2026-08-30 00:00:00,WBE,Professional Services,"Architecture, planning, interior design",Cheryl C. Kersey,Jefferson,Louisville,KY,502-583-0094,https://kerseyandkersey.com/
Kingsley Consulting LLC DBA Kingsley + Co.,2028-10-30 00:00:00,MBE,Professional Services,"Commercial real estate investment and development work focused on revitalizing communities, property redevelopment, asset management, leasing, design-build services, acquisitions, investment and financing, and sustainability-driven projects",Chinedum Ndukwe,,Cincinnati,OH,614-753-1491,https://www.kingsleyandcompany.com/
"Klein Printing, Inc. ",2026-06-30 00:00:00,WBE,Manufacturer,"Printing, graphic design, promotional items & uniforms",Mary Lou Klein,Kenton,Covington,KY,859-341-4774,https://www.kleinprinting.com/
"Kong Xpress, LLC",2027-03-30 00:00:00,MBE,Trucking,Dump trucking,Jonnathon Booth,Clark,Clarksville,IN,812-557-5817,"Please provide website address, if applicable"
"KPC Architectural Products, Inc.",2027-03-30 00:00:00,WBE,Supplier/Distributor,Furniture merchant wholesaler and design company,Angie Smith,Fayette,Lexington,KY,859-269-3646,https://kpcarch.com/
"Kundlas Consulting Group, LLC ",2028-04-30 00:00:00,MBE,Consultant,Environmental Consulting; Consulting Management; Construction Management; Grants Management,Sandeep Singh,,Whitestown,IN,718-414-9730,https://kundlasgroup.com/
"Landmark Construction, LLC ",2026-12-30 00:00:00,WBE,Contractor,"Excavation, Dirt Hauling, Walls/Bridges, Concrete",Laura Feltner,Perry,Hazard,KY,606-216-1485,www.landmarkconstruct.com
"Landscaper's Corner, Inc. ",2027-04-30 00:00:00,WBE,Other ,"Landscape supply company include mulches, decorative gravels, soil amendments, grass seed, vegetable seed, straw, pine straw, tools, and natural stone",Elaine Pence,Fayette,Lexington,KY,859-225-9433,
"LC Hauling, LLC",2029-01-30 00:00:00,MWBE,Other,Transportation of heavy equipment and construction supplies. Along with various other items.,Ana Feria & Megan Feria,Jefferson,Louisville,KY,502-386-1376,https://www.lchauling.com/
"Leach Communications, LLC",2028-04-30 00:00:00,WBE,Professional Services,"Writing, editiing, communciations",Tanya Bricking Leach,Kenton,Covington,KY,859-653-0893,https://www.clippings.me/tanyaleach
"Leadership Bridges, LLC",2028-08-30 00:00:00,WBE,Consultant,"Business consulting for government and nonprofit organizations in strategic planning, governance, leadership coaching and development, teambuilding, organizational design, and strategic alliances",Florence W. Tandy,Kenton,Erlanger,KY,859-582-5603,https://leadershipbridges.com/
"LEAN Business Solutions, LLC ",2026-05-30 00:00:00,MBE,Consultant,"Consultant for efficiency improvement opportunities. Coaching, training and presentations",Alonzo Allen,Scott,Georgetown,KY,502-863-2933,
"Leapspark, LLC",2027-05-30 00:00:00,WBE,Professional Services,"Video Production (concept to completion, scripting, shooting, editing, post-production), Photography (on-location, studio, retouching), Animation (2D, 3D, character animation, motion graphics, explainer videos), Campaign Production (ideation, execution, marketing campaigns), Social & Micro-Content (short-form videos, graphics, interactive content, Augmented Reality (AR filters, AR apps, interactive installations), Virtual Reality (VR video production, VR apps, virtual tours), Experiential Content (pop-up events, interactive installations, event production, experiential marketing), Influencer Content (influencer marketing strategy, content creation, campaign management).",Ember Marr,Jefferson,Louisville,KY,502-579-2323,https://leapsparkagency.com/
"LECGI, Inc. ",2027-03-30 00:00:00,MWBE,Professional Services,"Structural engineering, steel detailing (shop and fabrication draws) & drafting services",Don (Dongfa) Liu,Jefferson,Louisville,KY,502-425-1647,https://www.lecgi.us/
"LEDAMARK, Inc. ",2026-05-30 00:00:00,WBE,Contractor,"Installation of equipment - pallet rods, security cages and storage containers, pumps, motors, exhaust fans, flag poles, key/cone locks",Phyllis Stephens,Powell,Stanton,KY,402-250-9033,http://www.ledamark.com/
"Legacy Contracting, LLC",2026-08-30 00:00:00,MBE,Contractor,"Residential and commercial roofing, gutters, remodeling, framing, and general contracting",Shamere Grant,Jefferson,Louisville,KY,502-690-0899,
"Legend Painting, Inc.",2026-02-28 00:00:00,WBE,Contractor,Bridge painting,Kaliopy Valvoulas,Mahoning,Campbell,OH,330-953-3264,
"Lestar Mineral Development, Inc.",2026-05-30 00:00:00,MBE,Supplier/Distributor,Asphalt & steel,Lester Boyd,Fayette,Lexington,KY,859-608-9926,https://lestarinc.com/
"Level Up Consulting, LLC",2028-01-30 00:00:00,MWBE,Consultant,"Education consulting, training, and retail sales – books",Candice Christina Hardin,Jefferson,Louisville,KY,502-619-2293,https://www.321levelup.com/
"Lexington Podiatry, PSC",2027-05-30 00:00:00,WBE,Professional Services,Full scope podiatry medical services,"Nicole G. Freels, DPM",Fayette,Lexington,KY,859-967-7168,https://www.lexingtonkypodiatry.com/
"LexLou Data Analytics, LLC",2027-10-30 00:00:00,WBE,Consultant,"Platform as a Service (PaaS) Development, Deployment, Documentation, and Training Data Management and Migration Data Analytics and Business Intelligence, CRM and Data Application Development and Implementation System development, Data Strategy and Business Process Development, Technical Writing and Documentation, Administrator and End User Training Delivery and Materials Data-related Project Management",Nicole Smith,Fayette,Lexington,KY,312-316-9863,https://www.lexloudata.com/
"Lifestone Dynamic, LLC",2026-08-30 00:00:00,MBE,Contractor,New construction and remodeling,Bernardo Caballero,Jefferson,Louisville,KY,502-797-3022,https://www.lifestonedynamic.com/
"Lincoln Manufacturing USA, LLC",2027-12-30 00:00:00,MBE,Manufacturer,"Metal stamping facility with the capability to manufacture a wide range of parts from simple stampings to close tolerance critical parts; as well as, projection welding, grinding & lathe operations; our largest volume types of parts supplies to our different customers are transmission parts; tier 2 Supplier Ford, Honda Toyota, Nissan, BMW, General Motors, Mazda & Chrysler Corporation",Masato Sugimura,Lincoln,Stanford,KY,606-365-3016,https://www.lincolnmfg.com/
"Little Creek Construction, Inc.",2028-08-30 00:00:00,WBE,Contractor,"Installation of rural water lines by trenching and additional bores, and underground utilities",Rebecca Tolliver,Greenup,Greenup,KY,606-473-6296,
"LL Brown, LLC",2028-01-30 00:00:00,MWBE,Contractor,"Bridge cranes, hydraulic truck cranes, piling, and demotion services broker, crane and rigging rental and operators",Vickie Lynn Brown,Scott,Scottsburg,IN,502-643-5563,
"LMH Accounting & Consulting, LLC ",2026-10-30 00:00:00,MWBE,Professional Services,"Accounting services, auditing, payroll, taxation, financial statement preparation, bookkeeping, fraud investigation, forensic accounting ",Latanya M. Henry,Jefferson,Louisville,KY,502-996-7150,https://lmhaccounting.com/
"Lola's Laundry, LLC",2026-08-30 00:00:00,MWBE,Retail,Laundromat and laundry services,Melinda and Leonard Bredwood,Scott,Georgetown,KY,859-333-6288,https://lolaslaundryky.com/
"Longevity Power Wash, LLC ",2028-05-30 00:00:00,MBE ,Other ,"Truck washing, residential and commercial power washing, fuel station and restaurant cleaning, graffiti removal, waste water recovery systems ",Keith Brooks,Jefferson,Louisville,KY,502-276-6309,http://www.longevitypowerwash.com/
"Lots & More, INC.",2029-01-30 00:00:00,MBE,Contractor,"Property Maintenance, renovations and construction",Noah Lockhart,Jefferson,Louisville,KY,502-821-8787,
"LR Hawkins, LLC",2027-03-30 00:00:00,MWBE,Professional Services,"Tax preparation, bookkeeping, and Notary Signing Agent",Lemeka Hawkins,Fayette,Lexington,KY,859-552-5986,"Please provide website address, if applicable"
"Lunar Wellness & Fitness, LLC",2027-10-30 00:00:00,WBE,Professional Services,"Personal training, therapeutic massage, nutrition coaching, online training programs and wellness resources",Leanne Marie Fritz,Madison,Louisville,KY,502-921-3352,https://lunarfitnesswellness.square.site/
"Lykins Reinforcing, Inc.",2026-12-30 00:00:00,WBE,Subcontractor,Installation of reinforcing steel and post tensioning for concrete,Donna Lykins,Jefferson,Louisville,KY,502-634-5030,
"M&M Finishing, LLC",2026-12-30 00:00:00,WBE,Manufacturer,Application of metal & ceramic coating to industrial components,M. Elizabeth Schlemmer,Boone,Walton,KY,859-485-1100,https://www.mandmfinishing.com/
"M. Martinez Stone, LLC dba Missy Martinez-Stone ",2028-10-30 00:00:00,MWBE,Consultant,"Operations and Administrative Management, Systems and HR Consulting",Missy Martinez-Stone,Jefferson,Louisville,KY,540-903-5680,
"Mackey Group, LLC dba Wiser Strategies",2027-03-30 00:00:00,WBE,Professional Services,"Communication consulting and creative services firm. Services include public relations plan development, media relations & publicity, opinion research, branding, advertising, video production, photography, writing, graphic design, digital & social media, crisis response and management, public input, and event planning & promotion",Nancy Wiser,Fayette,Lexington,KY,859-227-8850,https://wiserstrategies.com/
"Make It Plain Consulting, LLC ",2027-03-30 00:00:00,MBE,Professional Services,"Human resources, economic inclusion, workforce training, performance coaching",Tommie Lewis Jr.,Hamilton,Cincinnati,OH,513-421-2300,http://mipcllc.com/
"Mamula Contracting, LLC",2028-04-30 00:00:00,WBE,Contractor,General contracting and construction materials,Karen Mamula,Trumbull,Warren,OH,330-240-8007,
"Maps + Apps, LLC",2028-01-30 00:00:00,WBE,Professional Services,"Geographic Information Systems (GIS) Services GIS Data Collection, Management, and Analysis GIS Application Development and Custom Solutions Spatial Data Infrastructure Design Mapping and Cartography Interactive Web and 3D Mapping Cartographic Services Environmental and Sustainability Services",Brita Austin,Warren,Bowling Green,KY,270-935-0296,
"Maria Ladd Consulting, LLC",2027-03-30 00:00:00,WBE,Consultant,Public relations,Maria Ladd,Jefferson,Prospect,KY,502-262-0353,"Please provide website address, if applicable"
"Marine Solutions, Inc.",2027-03-30 00:00:00,WBE,Professional Services,"Marine engineering, bridge engineering, and construction commercial diving",Amy Wilkins,Jessamine,Nicholasville,KY,859-260-1055,https://www.msimarinesolutions.com/
"Martin Elite Realty Company, LLC dba Martin Elite Realty Company",2028-01-30 00:00:00,MBE,Professional Services,Real estate brokerage services,Desmond Martin,Jefferson,Louisville,KY,502-553-3296,https://www.martineliterealty.com/
"Mary's Cleaning Service, LLC",2027-03-30 00:00:00,MWBE,Contractor,"Cleans commercial buildings, floor car, general & deep cleaning",Mary Anthony,Fayette,Lexington,KY,859-270-9509,
"Mastin Construction, Inc.",2028-08-30 00:00:00,WBE,Contractor,"General construction, demolition, street sweeping, vacuum trucks, environmental services, facility maintenance, and hydroseeding",Jamie Mastin,Harrison,Cynthiana,KY,513-582-1629,https://www.mastinconstruction.com/
Maximilian Eisenburger,2027-10-30 00:00:00,MBE,Consultant,"Economic and real estate consulting services, fiscal impact analysis, entrepreneurial ecosystem assessment",Maximilian Guerrero Eisenburger,Fayette,Lexington,KY,(773) 540-5969,
"Maynard & Mitchell Interiors, Inc. dba M & M Interiors",2029-05-30 00:00:00,WBE,Subcontractor,"Commercial drywall, acoustical ceilings, metal stud framing, door frames & hardware EIFS, drywall finishing, cold-formed metal framing, trusses ",Monica Thomas ,Jefferson,Louisville,KY,502-384-8109 ,https://mm-interiors.net/
"MC Innovations, LLC",2027-10-30 00:00:00,WBE,Professional Services,"Self-insurance claims management, loss control & safety,  pharmacy benefit management, medical bill review, and durable medical equipment supply",Judith Hays,,Richmond,VA,804-344-0009,https://mcinnovations.com/
"McAllister Transport, LLC dba McAllister Excavation",2029-04-30 00:00:00,WBE,Subcontractor,Dump truck services & excavation,Amber McAllister,Bullitt,Brooks,KY,502-762-7327,
"McGeeney Consulting Partners, LLC",2027-05-30 00:00:00,WBE,Professional Services," Data analysis and visualization consulting, with a focus in health and human services",Teresa McGeeney,Jefferson,Louisville,KY,502-649-3339,https://www.mcpdata.com/
"MCLabs, LLC dba Fastest Labs of Florence",2029-04-30 00:00:00,MBE,Professional Services,"Drug testing, alcohol testing, and DNA testing services",Miguel Concepcion,Boone,Florence,KY,859-907-3575,fastestlabs.com/Florence
"MCN Moving Cargo Now, LLC",2026-12-30 00:00:00,MWBE,Trucking,Transport of over the road freight and dry freight throughout the United States,Elaine Collins,Graves,Mayfield,KY,270-970-1019,https://movingcargonow.biz/
"Metric Environmental, LLC",2029-04-30 00:00:00,MBE,Professional Services,"Assessment and remediation, asbestos & lead inspections, architectural/history & archaeological investigations, natural resources management, industrial hygiene and occupational safety, NEPA services, stormwater permitting and compliance support, environmental documentation",Kenneth Beache,,Indianapolis,IN,317-400-1633,https://metricenv.com/
"MG Excavating, LLC",2027-07-30 00:00:00,WBE,Subcontractor,"Excavating, dredging trenching, demolition and clearing",Julia Guilfoyle,,Brookville,IN,765-309-6722,
"Michele Wilson Jones, Attorney at Law",2026-05-30 00:00:00,WBE,Professional Services,Legal services including but not limited to Real Estate transactions; deed preparation; mortgage preparation; foreclosures; loan closings; private closings; and title abstracting,Michelle Wilson Jones,McCreary,Whitley City,KY,606-310-1965,https://michelewilsonjones.com/
"Miller Consultants, PBC ",2026-10-30 00:00:00,WBE,Consultant,"Management consulting, Organizational Development Training, Executive Coaching, Organizational Assessments",Kathleen Miller-Perkins,Jefferson,Louisville,KY,502-452-1751,https://www.millerconsultants.com/
"Mills Supply Co., Inc. ",2027-12-30 00:00:00,WBE,Supplier/Distributor,"Rebar fabrication, Concrete Reinforcement ",Kathy Mills ,Jefferson,Louisville,KY,502-561-0700,https://www.millssupply.net/
"Minority Brokers, LLC",2027-07-30 00:00:00,MBE,Supplier/Distributor,"HVAC, plumbing, and electrical supplier",Cedric Knight,,New Albany,IN,502-654-3843,https://www.minoritybrokers.net/
"Miss Mow It All, Inc. ",2026-05-30 00:00:00,WBE,Contractor,"Professional lawn and landscape services. Design, build and snow removal services",Barbara Hilpp,Jessamine,Nicholasville,KY,859-885-6697,https://www.missmowitall.net/
"Misty Artesian Water, Inc.",2026-02-28 00:00:00,MWBE,Retail,"Bottled water for special events, bottled in bottles in the shape of a ribbon",Misty Washington,Jefferson,Louisville,KY,502-528-6336,https://mistywater.com/
"Mix It Up Mobile Concessions, LLC",2029-04-30 00:00:00,MWBE,Other - Food Truck,"Mobile food truck, mobile concession stand, caterer, bounce houses and inflatables, foam machine, custom t-shirts, balloon garlands, fundraiser opportunities, popcorn, cotton candy, and machine rentals",Leslie Evans,Fayette,Lexington,KY,859-755-6136,https://www.mixitup859.com/
"MMN Consulting, LLC ",2027-10-30 00:00:00,WBE,Consultant,"Provides assistance and support for government procurement related business development including market analysis; strategic planning, capture planning, socio-economic certifications, capability statements, proposal development or review, small business subcontract plan development, implementation & compliance",Marisa Neal,Jefferson,Louisville,KY,502-767-6970,https://www.mmnconsulting.com/
"Montenegro Paper, LTD dba Montenegro, Inc.",2028-05-30 00:00:00,MWBE,Supplier/Distributor,"Provider of paper, packaging & print procurement needs",Irma Bates ,DuPage,Roselle ,IL,630-894-0350,https://montenegro-inc.com/
"Moravec Labs, LLC dba dymaptic",2028-07-30 00:00:00,WBE,Consultant,GIS (Geographic Information Systems) consulting and custom software development,Mara Stoica,,Portland,OR,707-939-5227,https://www.dymaptic.com/
"Morgan Accounting Services, LLC ",2027-06-30 00:00:00,WBE,Professional Services,"Accounting, bookkeeping, consulting & tax services",Patricia L. Morgan ,Jefferson,Louisville,KY,502-821-7509,
"Morgan Security Services, LLC dba Morgan Protection Services",2028-02-28 00:00:00,MBE,Professional Services,Security services,Barron M. Morgan,Jefferson,Louisville,KY,"502-689-2234, 502-515-3313",https://www.morganprotectionusa.com/
"Munson Business Interiors, Inc.",2026-10-30 00:00:00,WBE,Retail,"Office furniture sale, space planning, interior design, corporate standard programs, project management, W/H, furniture service & installation",Mindy D. Munson,Jefferson,Louisville,KY,502-589-1236,https://www.mbifurniture.com/
"My Math Lab, LLC",2029-01-30 00:00:00,MWBE,Professional Services,"Educational Tutoring in areas of mathematics grades K-9, can assist in upper grade level mathematics and ACT prep, financial and digital literacy",Charlestine Felishia Burnam,Jefferson,Louisville,KY,859-457-3910,http://mymathlab78.org
MZ Corp dba Zurbuch Development Construction Consulting,2028-10-30 00:00:00,MWBE,Professional Services,"Construction Project Management, Owners Technical Representation, QA/QC, Site Inspection, Program Management",Mary Zurbuch,,Indianapolis,IN,317-407-4677,https://zurbuchinc.com/
"Natalie’s Smiling Angel Home Health, LLC   ",2026-10-30 00:00:00,MWBE,Professional Services,Home health agency and private duty nursing agency providing both personal and skilled care,Natalie Calhoun,Jefferson,Louisville,KY,502-999-1198,
National Contracting Services LLC,2029-02-28 00:00:00,MBE,Contractor,"General contractor, 8a certified, operation & maintenance vendor",Miguel Montano,Jefferson,Louisville,KY,502-614-8646,https://ncssuccessllc.com/
"National Disaster Recovery Technical Assistance Consultants, Inc.                     ",2028-07-30 00:00:00,MBE,Consultant,"Consulting service for Disaster Recovery Grant Management and Administration Services in support of FEMA's Public Assistance (PA) Program under the Robert T. Stafford Disaster Relief and Emergency Assistance Act. • HUD's CDBG-DR Program Support for the funds appropriated by the Disaster Relief Appropriations Act, 2013 and Staff Augmentation",Jayesh Desai,,Binghamton,NY,607-321-1088,https://ndrtac.com/
"Nature's Finest Lawncare & Landscaping, LLC",2026-05-30 00:00:00,MBE,Other ,"Lawncare, landscaping, and snow removal services",Mark D. Hammond,Jefferson,Louisville,KY,502-440-6361,
"Necessary Comforts, LLC",2027-10-30 00:00:00,WBE,Manufacturer,Post-surgical drain garment manufacturing and sales,Joan Hale,Jefferson,Louisville,KY,502-494-4747,https://necessary-comforts.myshopify.com/
"Net Tango, Inc.",2027-10-30 00:00:00,WBE,Professional Services,"Website development, web software development, cloud migration, modernizing legacy systems, AI integrations, digital strategy consulting",Susan Weiss,Jefferson,Louisville,KY,502-245-1750,https://www.nettango.com/
"Netlogx, LLC",2027-10-30 00:00:00,WBE,Consultant,"Information Management, Security Risk Management, Process Management, Project and Program Management, Organizational Change Management and Performance Management",Audrey Taylor,,Indianapolis,IN,317-536-6046,https://netlogx.com/
"New Hope Consulting, LLC",2028-04-30 00:00:00,WBE,Consultant,"Affordable housing consultant and assist developers in application preparation for Low Income Housing Tax Credit, Federal Home Loan Bank, State HOME, and Affordable Housing Trust Fund applications",Jessica Gardner,Fayette,Lexington,KY,859-200-1891,
"Newport Automation, LLC ",2028-02-28 00:00:00,MBE,Contractor,Design & install IP-based portable & fixed video surveillance camera systems,Eric Shen,Campbell,Newport,KY,859-212-0550,https://www.newportautomation.com/
"Next Century Technologies, LLC",2026-12-30 00:00:00,WBE,Professional Services,"IT management and support for businesses including cybersecurity, backups, HIPAA/financial compliance, phones all across Kentucky and other states",Tracy Hardin,Fayette,Lexington,KY,859-245-0582,https://nextcenturytechnologies.com/
"NIE Contracting, LLC",2028-01-30 00:00:00,MWBE,Other ,"Commercial cleaning services for offices, construction sites, schools, warehouses, and residences",Sabrina Gibson,Warren,Bowling Green,KY,270-779-6519,http://www.niecontracting.com/
"NK Stone Design, Inc.",2026-10-30 00:00:00,WBE,Other,"Fabrication & installation of natural stone; marble, granite, slate, quartz, & tile sales",Denise M. Firth,Campbell,Newport,KY,859-581-2255,https://www.nkstone.net/
"Nu-Leaf Cleaning Service, LLC",2026-08-30 00:00:00,MBE,Other ,Janitorial services,Christopher M. Hall,Jefferson,Louisville,KY,502-656-1027,
"Oak & Ash, LLC",2029-04-30 00:00:00,WBE,Retail,"Sewing and quilting fabrics, bourbon barrel goods, handmade quilts and quilting services",Tiffany Marie Prabell,Boone,Hebron,KY,859-609-4031,https://oakandashky-website.netlify.app/
OB Electric LLC dba OB Electrical,2027-07-30 00:00:00,MBE,Contractor,"Electrical installation services for residential, commercial, and industrial projects.  Installation of new electrical systems, maintenance and repair of existing systems, electrical inspections, troubleshooting and locating faults, rewiring, upgrading electrical panels, adding new circuits, fitting circuit breakers and fuse boxes",Luis Orlando Barrios,Fayette,Lexington,KY,859-983-8458,https://obelectrical.com/
"OH Design Lab, LLC",2029-04-30 00:00:00,MBE,Professional Services,Architectural and design services: residential and small public-sector projects; renovation and repair of existing buildings; accessibility and ADA compliance upgrades; permit-ready construction documents; small capital improvement projects; existing building documentation and as-builts renderings,Oliver Hidalgo,Fayette,Lexington,KY,859-333-2500,https://www.ohdesignlab.com/
"Okike, LLC",2028-04-30 00:00:00,MWBE,Professional Services,Artist development and art work,Shauntrice Martin,Jefferson,Louisville,KY,530-727-8835,www.BlackArtistsGetPaid.com 
"Omni Custom Meats, Inc. ",2026-10-30 00:00:00,MBE,Manufacturer,"Processor of beef, pork & poultry products for hotel, restaurant & institutional markets & full-line food distributions ",Curtis D. Sullivan,Warren,Bowling Green,KY,270-796-6147,https://www.omnimeats.com/
"One Pink Hat, Inc.",2027-03-30 00:00:00,WBE,Professional Services,"Construction Management - Office, Healthcare, Industrial, Retail and Banking",Kristie French,Jefferson,Louisville,KY,502-498-7745,https://onepinkhat.com/
"Organized Energy Coaching and Consulting, LLC",2026-08-30 00:00:00,MWBE,Consultant,"Administrative/Business Support Services, Consulting, Training & Development",Tiffany Williams,Jefferson,Louisville,KY,252-226-8769,https://www.organizedenergy.co/orgservices
"OstermanCron Louisville, LLC  ",2026-10-30 00:00:00,WBE,Retail,"Office furniture dealership selling office furniture, design and space planning services to Corporate, Government, Healthcare, and Educational customers",Margaret Cron,Jefferson,Louisville,KY,502-453-8711,https://ostermancron.com/home/img_4497/
"Outpace, LLC",2028-04-30 00:00:00,WBE,Consultant,Business strategy consulting,Jessica Stamates,Campbell,Dayton,KY,513-266-2719,https://outpacepartners.com/
"Overby Trucking, LLC",2027-10-30 00:00:00,WBE,Subcontractor,Tri-axle dump truck aggregate hauling and demo haul off,Laura Overby,McCracken,Paducah,KY,270-331-3855,
"Paladin, Inc.",2029-02-28 00:00:00,WBE,Professional Services,"Commissioning, sustainabilityconsulting, and direct-to-owner engineering",Candice B. Rogers,Fayette,Lexington,KY,859-252-3047,https://paladinengineers.com/
Patton Unlimited Inc. dba Miracle of KY/TN,2027-06-30 00:00:00,WBE,Retail,Playground equipment sales & installation,Tami Phillips,Grayson,Leitchfield,KY,270-230-0221,https://miraclekytn.com/
"Paulies Services, LLC dba Paulies Plumbing Services",2028-11-30 00:00:00,MBE,Professional Services,"Plumbing & gas installation, residential & commercial ",Paul Jinks ,Jefferson ,Louisville,KY ,502-416-4153,
"PEAK Advertising, LLC  ",2026-10-30 00:00:00,WBE,Professional Services,Advertising related business and media purchases,Amy Stevenson,Jefferson,Louisville,KY,502-592-5797,https://www.peak-ad.com/
"Peer House, LLC",2028-04-30 00:00:00,WBE,Professional Services,"Tax preparation, data compilation, bookkeeping comparison benchmark, and CFO oversight",Ozlem Davis,Fayette,Lexington,KY,859-200-9034,https://peerhousecpa.com/
"People Plus, Inc.",2029-04-30 00:00:00,WBE,Professional Services,Temporary help staffing services and executive training,Amy Sanderson & Amanda Huddleston,Hopkins,Madisonville,KY,270-825-8939,https://peopleplusinc.com/
"Performance Exteriors, Inc. ",2026-10-30 00:00:00,WBE,Subcontractor,"Exterior Insulation Finish System (EIFS), stucco, veneer, and masonry, painting, and demo.",Laura Wade,Jefferson,Louisville,KY,502-935-5521,http://www.performanceexterior.com/
"Pier Group, LLC",2026-08-30 00:00:00,WBE,Other ,Procure and resell IT equipment to Higher Education and research institutions,Amy Lynn Williams,Dubois,Jasper,IN,812-650-7594,https://www.piergroup.com/
"Pillow Express Delivery, Inc. dba Pillow Express Logistics",2028-04-30 00:00:00,MBE,Other ,"Same day expedited courier services, cross dock services, and warehouse services","George E. Pillow, Jr.",Marion,Indianapolis,IN,317-415-4000,https://www.pillowlogistics.com/
"Pinakin Designs, LLC, dba Decorating Den Interiors",2026-05-30 00:00:00,MWBE,Other ,"Residential and commercial design projects, window treatment, furniture, home decoration and renovation",Monika Dixit,Jefferson,Prospect,KY,502-415-4476,https://pinakindesigns.decoratingden.com/
"Piper-Smith, LLC",2027-10-30 00:00:00,WBE,Consultant,"Lobbying, public relations, and crisis communications",Abigale Piper,Fayette,Lexington,KY,859-583-0873,https://www.piper-smith.com/
"PipeWorks Plus, Inc",2027-06-30 00:00:00,WBE,Contractor,"Installation of Underground Utilities for Cities, Water Lines, Sewer Rehabilitation, Pipe Bursting ",Mabel Holloway,Franklin,Tullahoma,TN,913-455-7592,
"Popham’s Trucking, LLC dba Pophams Trucking & Excavating",2028-01-30 00:00:00,WBE,Subcontractor,"Transport of rock, dirt, sand, asphalt, and removal of demolition debris via dump truck, earth moving such as dirtwork, leveling, and excavation for road construction and site preparation and bore and jack, installing casing under roadways for the installation of water/ sewer services",Susan Popham,Meade,Brandenburg,KY,270-828-5520,
"Powers Engineering, Inc.",2028-01-30 00:00:00,MWBE,Professional Services,"Professional engineering, civil engineering, construction engineering, water resources engineering, environmental engineering, and geographic information systems",Cherylynn Schilling,Marion,Indianapolis,IN,812-774-0760,https://www.powersengineeringinc.com/
Precision Cleaning and Landscape Services LLC,2028-01-30 00:00:00,MBE,Non-Professional Services,Janitorial services and lawncare services,Theodore Weaver,Jefferson,Louisville,KY,502-915-9467,https://pclservicesllc.com/
"Precision Management Solutions, LLC",2028-10-30 00:00:00,MWBE,Professional Services,"Strategic information technology, business eCommerce and healthcare consulting to government, commercial and non-profit clients including project management, program support, cyber security; system integration, data analytics, technical staff training/recruitment; and digital marketing and supplies",Morenikeji Fakeye,,Baltimore,MD,410-501-7679,https://myprecisionsolutions.com/
Professional Component LLC,2028-07-30 00:00:00,WBE,Professional Services,"Medical coding, medical coding audits, medical billing, regulatory compliance services, provider enrollments, medical insurance claims, medical claims accounting, medical accounting quality assurance, accounts receivables medical claims, Medicare and Medicaid claims, Medicare/Medicaid compliance",Janice Brashear,Fayette,Lexington,KY,859-285-2940,
"Professional Management Enterprises (PME), Inc.  ",2028-04-30 00:00:00,MBE,Professional Services,"Project management, Staff Augmentation, IT Services (including management and development, Cleaning and janitorial services, and Community Outreach and Engagement Services",Haskell Daniel Portee,Marion,Indianapolis,IN,317-541-0200,https://www.pme-indy.com/
"Prometheus Foundry, LLC dba Prometheus Art",2026-05-30 00:00:00,WBE,Professional Services,"Design & build metal sculpture, monuments, & architectural details; casting & fabrication services for metalwork & restoration of metal sculpture",Amanda Matthews,Fayette,Lexington,KY,"502-592-3774, 502-333-4770",https://www.prometheusart.com/
"Property Scope, Inc.",2027-03-30 00:00:00,WBE,Contractor,"General contractor that provides facility infrastructure support, general construction, and maintenance services",Ann E. Fangman,Jefferson,Louisville,KY,502-563-4008,https://propertyscope.net/
"PSD Executive Protection Specialists, LLC ",2026-05-30 00:00:00,MBE,Professional Services,"Provides professional security guard service, personal protection, security consulting, security guard training and private investigations",Darryl B. Watson,Jefferson,Louisville,KY,267-325-0999,www.psdexecutiveprotection.com 
"PSRI Technologies, LLC ",2028-04-30 00:00:00,MWBE,Professional Services,"Information technology, IT development services, staffing, and project management, and HP, Dell and Lenovo reseller",Natasha Conley,St. Louis,Chesterfield,MO,636-778-3434,https://psritech.com/
"PureSky, LLC dba International Card Solutions, LLC",2026-08-30 00:00:00,MBE,Consultant,"Consulting firm that brings solutions to the market place, including floor safety coating and payment processing services",Justin Clayborne,St. Clair,Belleville,IL,404-938-3342,
"Purestream ES, LLC",2027-03-30 00:00:00,WBE,Manufacturer,"Wastewater treatment systems and solutions, and equipment",Nanci Vesio,Boone Kenton,Walton,KY,859-371-9898,https://www.purestreaminc.com/
